1.4 V,1.6 V,1.7 V,1.8 V,1.9 V,2.0 V,2.1 V,2.15 V,2.2 V
5.5887,4.1309,0.9983,1.8374,0.438,0.4013,0.7688,0.181,0.2166
5.7312,4.19,1.094,1.8531,0.4424,0.423,0.8141,0.1845,0.251
5.9228,4.278,1.165,1.8855,0.4546,0.4589,1.1055,0.221,0.2642
6.2614,4.5344,1.1825,1.9012,0.5411,0.5148,1.2313,0.2424,0.2733
6.6792,4.7863,1.2008,1.9782,0.5704,0.5236,1.3268,0.2549,0.2809
6.7267,4.8241,1.2073,1.9798,0.5712,0.5326,1.5647,0.2682,0.2888
6.978,5.1102,1.213,2.0259,0.5723,0.5746,2.7819,0.2694,0.3259
7.9787,5.3657,1.2492,2.3117,0.6627,0.6023,,0.2838,0.3383
,5.4212,1.3049,2.4637,0.6879,0.643,,0.2855,0.3459
,5.8798,1.3255,2.5128,0.7208,0.6634,,0.3025,0.3764
,6.3992,1.4319,2.817,0.7572,0.6695,,0.3513,0.386
,6.7239,1.5566,3.2808,0.8086,0.6816,,0.6115,0.4011
,6.9316,1.5889,3.9744,0.816,0.7181,,0.7205,0.4485
,7.0101,1.9083,4.0114,0.84,0.7584,,0.8114,0.4801
,7.0306,2.0172,4.3114,0.9499,0.7691,,0.9189,0.9518
,7.2086,2.2789,4.3114,1.1793,0.8114,,1.269,0.9596
,7.437,2.8929,5.9615,1.3503,0.8404,,1.8359,0.9928
,7.6654,3.0676,7.5569,1.373,0.9417,,,1.1745
,,3.4486,,1.5626,1.0213,,,2.5905
,,3.6487,,1.7848,1.5724,,,
,,,,1.9944,1.5743,,,
,,,,3.1335,2.2841,,,
,,,,3.3413,,,,
,,,,7.5912,,,,
