2.50E-11 A,3.00E-10 A,4.50E-10 A,7.50E-10 A,2.00E-10 A,6.00E-10 A,9.00E-10 A,1.50E-10 A,5.00E-11 A
6.2639,2.8925,3.7122,3.55,,4.1041,1.0377,7.5915,3.3439
5.9601,4.6303,0.5048,0.2611,,1.3832,2.5562,3.4397,3.7741
2.9344,0.2454,1.237,1.0959,,2.9721,0.5551,1.4388,
6.5068,0.595,5.6161,1.9265,,0.7556,0.6272,13.6353,
4.1983,0.2575,1.6842,0.4534,,0.5186,0.6968,10.4943,
10.7859,4.2788,0.261,1.4826,,1.0612,2.5279,2.562,
6.4374,0.4868,4.0579,0.209,,0.5585,3.9043,1.7303,
2.558,1.6859,2.0268,0.4419,,0.7293,0.9761,12.3629,
6.8608,2.8363,2.6339,1.429,,1.3514,0.7286,9.3023,
,1.3573,1.986,0.3328,,3.6701,1.8738,5.3234,
,1.8755,,1.0442,,0.397,1.0127,5.4557,
,0.9015,,1.4866,,0.5988,3.0889,0.7307,
,5.5894,,,,0.801,0.2536,4.4706,
,3.0889,,,,3.0007,2.0136,0.9414,
,0.9685,,,,1.2707,0.537,1.9145,
,4.0743,,,,1.9972,0.3484,2.3235,
,1.115,,,,,0.2859,,
,4.0599,,,,,0.2349,,
,4.6707,,,,,2.2419,,
,5.8658,,,,,2.9167,,
,4.9557,,,,,0.2651,,
,,,,,,2.776,,
,,,,,,2.8815,,
,,,,,,2.9322,,
,,,,,,0.2667,,
,,,,,,0.2594,,
,,,,,,2.1196,,
