,Bias / V,STS,error,site
0,-2.4989518000000004,2.66705281754627,0.15043256382196774,CornerHole
1,-2.4867364,2.455486862311176,0.14381868322148278,CornerHole
2,-2.4722958399999997,2.248613248316262,0.1401721368153638,CornerHole
3,-2.4610138000000004,2.051168500695126,0.13964952950267978,CornerHole
4,-2.4489639199999997,1.8856143078599712,0.13578148302105217,CornerHole
5,-2.4343567999999998,1.6847751451483046,0.13026072941326866,CornerHole
6,-2.42290292,1.5250463693885856,0.12389348723945849,CornerHole
7,-2.4112046,1.3668413852155634,0.12198528234954976,CornerHole
8,-2.39705156,1.2344068712873335,0.12138886508691883,CornerHole
9,-2.3850395599999996,1.1654451406729531,0.11771968269720491,CornerHole
10,-2.3736074400000002,1.0638287343969808,0.10572624054784276,CornerHole
11,-2.3600319599999997,0.9343746242276123,0.09391199052550096,CornerHole
12,-2.3471235200000002,0.8501957196591873,0.0871787037134488,CornerHole
13,-2.3357188399999997,0.7571652971669194,0.09165385931699216,CornerHole
14,-2.32287136,0.7008632232632429,0.08667044141490665,CornerHole
15,-2.309358,0.646440199164448,0.08039647156735986,CornerHole
16,-2.29781528,0.5610607764630621,0.07521494920873191,CornerHole
17,-2.2854247599999997,0.5374043237701639,0.07216234748033203,CornerHole
18,-2.2710442000000004,0.5416751343622559,0.06538560144636932,CornerHole
19,-2.25984532,0.5280002712500994,0.06127603121540444,CornerHole
20,-2.24786984,0.5561109607574954,0.05069960177657898,CornerHole
21,-2.2334408400000005,0.6287336638536591,0.049905371307306164,CornerHole
22,-2.2221886,0.6949235328788531,0.05382532847992103,CornerHole
23,-2.21060484,0.772521890140042,0.048409781267008796,CornerHole
24,-2.1962438,0.8311030542992035,0.050022970866618166,CornerHole
25,-2.18442696,0.9320906486757259,0.048956642958836394,CornerHole
26,-2.1727133600000004,1.0563610186290415,0.050868087973464704,CornerHole
27,-2.15926144,1.1548135318013266,0.050063791621220065,CornerHole
28,-2.1463113600000003,1.2319111335467465,0.04670888745413662,CornerHole
29,-2.13486424,1.320014238355063,0.04651860128793247,CornerHole
30,-2.12216852,1.409939068228901,0.049977441962052616,CornerHole
31,-2.1083772,1.5106796003940888,0.05753108103619256,CornerHole
32,-2.0969241199999997,1.6055298618410123,0.06297971832196358,CornerHole
33,-2.08462008,1.7152713736040548,0.06368117073501164,CornerHole
34,-2.07042516,1.8488463345089863,0.06989808992378749,CornerHole
35,-2.0592062400000004,1.978803075676652,0.07515753389591376,CornerHole
36,-2.0472027200000005,2.0922536346153215,0.0813989716110061,CornerHole
37,-2.03263932,2.202407772064874,0.08442399064136204,CornerHole
38,-2.0211376000000003,2.3336402298999896,0.08348696236121216,CornerHole
39,-2.00936692,2.47017682813025,0.08272062919231073,CornerHole
40,-1.9952376000000003,2.592071922395349,0.08531473956910314,CornerHole
41,-1.9832179600000002,2.7076601910258735,0.08240823251230604,CornerHole
42,-1.9716255199999997,2.8187136341108157,0.08467742256173383,CornerHole
43,-1.9578917599999994,2.9567515737800676,0.08481668368046386,CornerHole
44,-1.94517292,3.1089364904414354,0.08585219191994937,CornerHole
45,-1.9336368,3.2680600803601094,0.08749309156588549,CornerHole
46,-1.9210801200000003,3.4183077639349757,0.08386922896866791,CornerHole
47,-1.9077139600000002,3.5843667177651013,0.0844455046488482,CornerHole
48,-1.89645332,3.736925928314826,0.0810457833191456,CornerHole
49,-1.8845315999999999,3.8981460049894197,0.07935212427283846,CornerHole
50,-1.8700566400000003,4.037548821790844,0.07851450932985711,CornerHole
51,-1.85876104,4.188286347909786,0.07577367065234589,CornerHole
52,-1.8467256,4.333133577190038,0.07340671729213928,CornerHole
53,-1.8321040800000004,4.47158110646979,0.0761496908118612,CornerHole
54,-1.8207339199999995,4.612111460244579,0.06989501074014987,CornerHole
55,-1.8089765999999998,4.761535140077323,0.06930084945092597,CornerHole
56,-1.7947272800000003,4.899325122170059,0.06598718877640461,CornerHole
57,-1.78270728,5.042116144918785,0.06279486774835934,CornerHole
58,-1.7711565999999999,5.194728629492455,0.06257074132252079,CornerHole
59,-1.7575635199999997,5.3261616756499075,0.060788222450038544,CornerHole
60,-1.7447945599999997,5.459652929110019,0.05460961361496096,CornerHole
61,-1.73342332,5.559302831550108,0.055644333853604906,CornerHole
62,-1.7207116000000002,5.664528528008032,0.05797719948850897,CornerHole
63,-1.7070409599999996,5.764917942358189,0.059414570620028,CornerHole
64,-1.6955343199999995,5.859714614387468,0.06020968911046664,CornerHole
65,-1.6832949600000007,5.93389600583337,0.05930359384888658,CornerHole
66,-1.6688290400000005,5.994768731658763,0.06289897198528435,CornerHole
67,-1.6575980799999999,6.025816676414775,0.06686958535457903,CornerHole
68,-1.6455732,6.093363629048155,0.06577996439115646,CornerHole
69,-1.6311196400000003,6.12282206147842,0.06745299234389063,CornerHole
70,-1.61942952,6.13369782312672,0.06990128209280086,CornerHole
71,-1.6077576000000002,6.178401630797724,0.07684419705061675,CornerHole
72,-1.5935761200000003,6.190089609745599,0.0816195363560314,CornerHole
73,-1.5818528,6.190318527216716,0.08424522190277989,CornerHole
74,-1.5704119600000002,6.191862239317583,0.0854024579534177,CornerHole
75,-1.5568607199999993,6.154621711496628,0.08886460936895241,CornerHole
76,-1.5441580400000001,6.116526320250177,0.08546986716408551,CornerHole
77,-1.5326476799999995,6.0886206088669095,0.08503576103787075,CornerHole
78,-1.52004596,6.012536064141004,0.08486910614559323,CornerHole
79,-1.5061764000000002,5.905449630018098,0.08962888215170661,CornerHole
80,-1.4947168400000004,5.814869622973811,0.08946934988140279,CornerHole
